"matrix_id","source_path","migrability","target_tables","data_policy","seed_policy","blocker","apply_to_dev"
"cabina_universal_repo_alignment_matrix",".agents/codex/matrices/CABINA_UNIVERSAL_REPO_ALIGNMENT_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"canon_patch_extended_reconciliation_20260603",".agents/codex/matrices/CANON_PATCH_EXTENDED_RECONCILIATION_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_reconciliation_item","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"canonical_index_lineage_audit",".agents/codex/matrices/CANONICAL_INDEX_LINEAGE_AUDIT.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_reconciliation_item","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"canonical_state_supersession_20260603",".agents/codex/matrices/CANONICAL_STATE_SUPERSESSION_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_reconciliation_item","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"capability_graph_canon_20260603",".agents/codex/matrices/CAPABILITY_GRAPH_CANON_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"capability_import_decision_matrix",".agents/codex/matrices/CAPABILITY_IMPORT_DECISION_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"capability_matrix",".agents/codex/matrices/CAPABILITY_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"capability_source_inventory",".agents/codex/matrices/CAPABILITY_SOURCE_INVENTORY.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"capability_use_hardening_matrix",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"change_aware_impact_graph",".agents/codex/matrices/CHANGE_AWARE_IMPACT_GRAPH.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"change_aware_risk_policy",".agents/codex/matrices/CHANGE_AWARE_RISK_POLICY.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"change_aware_test_manifest",".agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_app_local_environment_matrix_20260602",".agents/codex/matrices/CODEX_APP_LOCAL_ENVIRONMENT_MATRIX_20260602.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_cloud_cabina_activation_gate_20260603",".agents/codex/matrices/CODEX_CLOUD_CABINA_ACTIVATION_GATE_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_cloud_environment_inventory_20260602",".agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_cloud_governed_lane_matrix",".agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_cloud_live_lane_finalization_20260602",".agents/codex/matrices/CODEX_CLOUD_LIVE_LANE_FINALIZATION_20260602.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_cloud_repo_discovery_matrix_20260602",".agents/codex/matrices/CODEX_CLOUD_REPO_DISCOVERY_MATRIX_20260602.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"codex_environment_creation_queue_20260602",".agents/codex/matrices/CODEX_ENVIRONMENT_CREATION_QUEUE_20260602.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"coverage_exception_registry",".agents/codex/matrices/COVERAGE_EXCEPTION_REGISTRY.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"d_drive_enrichment_matrix",".agents/codex/matrices/D_DRIVE_ENRICHMENT_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"document_skill_lane_matrix",".agents/codex/matrices/DOCUMENT_SKILL_LANE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"evidence_and_validation_matrix",".agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"evidence_gap_closure_20260603",".agents/codex/matrices/EVIDENCE_GAP_CLOSURE_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"evidence_readback_registry_20260603",".agents/codex/matrices/EVIDENCE_READBACK_REGISTRY_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"frontend_design_lane_matrix",".agents/codex/matrices/FRONTEND_DESIGN_LANE_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"github_actions_workflow_matrix",".agents/codex/matrices/GITHUB_ACTIONS_WORKFLOW_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"github_agent_operating_matrix",".agents/codex/matrices/GITHUB_AGENT_OPERATING_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"github_automation_preflight_matrix",".agents/codex/matrices/GITHUB_AUTOMATION_PREFLIGHT_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"github_ci_runner_cache_graph_20260603",".agents/codex/matrices/GITHUB_CI_RUNNER_CACHE_GRAPH_20260603.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"governed_asset_canonical_inventory",".agents/codex/matrices/GOVERNED_ASSET_CANONICAL_INVENTORY.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_reconciliation_item","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"live_delta_reconciliation_matrix_20260603",".agents/codex/matrices/LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"live_surface_gate_matrix_20260603",".agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"local_skill_catalog",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"matrix_index",".agents/codex/matrices/MATRIX_INDEX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"matrix_to_agent_capability_reconciliation_20260603",".agents/codex/matrices/MATRIX_TO_AGENT_CAPABILITY_RECONCILIATION_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"microsoft_next_lane_execution_matrix_20260602",".agents/codex/matrices/MICROSOFT_NEXT_LANE_EXECUTION_MATRIX_20260602.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"openai_two_wave_adoption_matrix_20260602",".agents/codex/matrices/OPENAI_TWO_WAVE_ADOPTION_MATRIX_20260602.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"openai_upstream_reference_matrix",".agents/codex/matrices/OPENAI_UPSTREAM_REFERENCE_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"operational_chain_governance_matrix",".agents/codex/matrices/OPERATIONAL_CHAIN_GOVERNANCE_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"order_class_capability_matrix",".agents/codex/matrices/ORDER_CLASS_CAPABILITY_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"order_preparation_assignment_matrix",".agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"parallel_issue_lane_queue",".agents/codex/matrices/PARALLEL_ISSUE_LANE_QUEUE.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"parallel_operation_criteria_matrix",".agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"plugin_skill_boundary_matrix",".agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"plugin_usage_matrix",".agents/codex/matrices/PLUGIN_USAGE_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"purpose_surface_capability_matrix",".agents/codex/matrices/PURPOSE_SURFACE_CAPABILITY_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"repo_agent_tool_governance_matrix",".agents/codex/matrices/REPO_AGENT_TOOL_GOVERNANCE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"repo_authority_graph_20260603",".agents/codex/matrices/REPO_AUTHORITY_GRAPH_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"repo_governance_assignment_matrix",".agents/codex/matrices/REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"repo_propagation_sequence_after_cabina_20260603",".agents/codex/matrices/REPO_PROPAGATION_SEQUENCE_AFTER_CABINA_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"repo_runtime_alignment_matrix",".agents/codex/matrices/REPO_RUNTIME_ALIGNMENT_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"runtime_alignment_status_matrix",".agents/codex/matrices/RUNTIME_ALIGNMENT_STATUS_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"skill_reference_source_matrix",".agents/codex/matrices/SKILL_REFERENCE_SOURCE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_capability_adoption_gap_matrix",".agents/codex/matrices/SOURCE_CAPABILITY_ADOPTION_GAP_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_cdf_agent_runtime_recipes_skills_alignment_matrix",".agents/codex/matrices/SOURCE_CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_cdf_agent_skill_recipe_tool_plugin_matrix",".agents/codex/matrices/SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_cdf_sharepoint_plugin_skill_adoption_matrix",".agents/codex/matrices/SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_seshat_bootstrap_sdu_cn_console_tooling_capability_matrix_20260527",".agents/codex/matrices/SOURCE_SESHAT_BOOTSTRAP_SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_tcu_guardrails_index",".agents/codex/matrices/SOURCE_TCU_GUARDRAILS_INDEX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"source_tge_sdu_cn_sharepoint_github_capability_matrix_20260527",".agents/codex/matrices/SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"standard_agent_chain_20260603",".agents/codex/matrices/STANDARD_AGENT_CHAIN_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"stop_condition_glossary",".agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"subagent_capability_assignment_matrix",".agents/codex/matrices/SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"sublevel_capacity_matrix",".agents/codex/matrices/SUBLEVEL_CAPACITY_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_reconciliation_item","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"sublevel_universe_repo_lane_chain_20260603",".agents/codex/matrices/SUBLEVEL_UNIVERSE_REPO_LANE_CHAIN_20260603.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"teams_agent_capability_matrix",".agents/codex/matrices/TEAMS_AGENT_CAPABILITY_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"teams_cross_repo_lane_audit_matrix_20260602",".agents/codex/matrices/TEAMS_CROSS_REPO_LANE_AUDIT_MATRIX_20260602.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_propagation_rule|sdu_environment","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"teams_governance_surface_matrix",".agents/codex/matrices/TEAMS_GOVERNANCE_SURFACE_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"tool_governance_matrix",".agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_capability|sdu_capability_mapping","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"user_identity_governance_matrix",".agents/codex/matrices/USER_IDENTITY_GOVERNANCE_MATRIX.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"validation_coverage_matrix",".agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv","MIGRATABLE_METADATA","sdu_matrix|sdu_validation_gate|sdu_evidence","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
"validator_performance_improvement_matrix_20260602",".agents/codex/matrices/VALIDATOR_PERFORMANCE_IMPROVEMENT_MATRIX_20260602.csv","MIGRATABLE_REFERENCE","sdu_matrix","metadata_only_no_sensitive_payload","seed_identifier_status_hash_only","","package_ready_no_apply_until_dev_environment_explicit"
