"table_logical_name","row_count","technical_health","usage_reality","complexity_debt","overlap_signal","operability","migrability_canon","gap_count","destination_queue","recommended_decision","primary_risk","next_action"
"mon_sdu_environment_variable_registry","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Matrix.Intake.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_evidence","5000","PASS","STRONG","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","QUEUE_READY","SEEDED_CANON_EVIDENCE","11","SDU.Evidence.Publish.Queue","KEEP_V1_ACTIVE","queue_binding_fields_missing_payload_workaround","keep_v1_and_close_queue_payload_or_field_gap_decision"
"mon_sdu_import_export_job","0","PASS","READY_WHEN_ROWS_EXIST","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","QUEUE_READY","OPERATIONAL_CANON_EMPTY","11","SDU.Dataverse.Apply.Queue","KEEP_EMPTY_OPERATIONAL_TABLE","queue_binding_fields_missing_payload_workaround","keep_v1_and_close_queue_payload_or_field_gap_decision"
"mon_sdu_publisher","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Dataverse.Apply.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_readback","0","PASS","READY_WHEN_ROWS_EXIST","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","QUEUE_READY","OPERATIONAL_CANON_EMPTY","11","SDU.Evidence.Publish.Queue","KEEP_EMPTY_OPERATIONAL_TABLE","queue_binding_fields_missing_payload_workaround","keep_v1_and_close_queue_payload_or_field_gap_decision"
"mon_sdu_repository","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Matrix.Intake.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_snapshot","0","PASS","READY_WHEN_ROWS_EXIST","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","QUEUE_READY","OPERATIONAL_CANON_EMPTY","11","SDU.Drift.Detection.Queue","KEEP_EMPTY_OPERATIONAL_TABLE","queue_binding_fields_missing_payload_workaround","keep_v1_and_close_queue_payload_or_field_gap_decision"
"mon_sdu_solution","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Dataverse.Apply.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_solution_component","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Dataverse.Apply.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_source_artifact","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Matrix.Intake.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_stop_condition","0","PASS","CANDIDATE_METADATA_ONLY","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","CONDITIONAL","REFERENCE_CANDIDATE","11","SDU.Gate.Review.Queue","REVIEW_V2_METADATA_CONSOLIDATION","queue_binding_fields_missing_payload_workaround","review_after_pilot_before_v2"
"mon_sdu_validation_gate","0","PASS","READY_WHEN_ROWS_EXIST","FIELD_GAPS_HIGH","PASS_NONE_DETECTED","QUEUE_READY","OPERATIONAL_CANON_EMPTY","11","SDU.Gate.Review.Queue","KEEP_EMPTY_OPERATIONAL_TABLE","queue_binding_fields_missing_payload_workaround","keep_v1_and_close_queue_payload_or_field_gap_decision"
