tool_id,level_id,tool_type,path_or_command,allowed_surface,blocked_surface
tool.repo_alignment_runtime,03_CORTE_EJECUTORA,run,D:/.agents/codex/tools/local_run_repo_alignment_runtime.ps1,local_synthetic_runtime,openai_api_live|microsoft_live|production|secrets
tool.routing_readback,00_ROUTER,write,D:\.agents\codex\readbacks,local_filesystem,remote_write
tool.secret_scan,01_AUTORIDAD_Y_GATES,read,Select-String secret patterns,local_filesystem,secret_printing
tool.governed_order_packet_builder,01_AUTORIDAD_Y_GATES,write,D:\.agents\codex\orders,local_order_packet,live_execution|secret_materialization|production_change
tool.local_validate_github_automation_preflight,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_github_automation_preflight.ps1,local_filesystem,external_runtime|openai_api_live|github_write|secrets
tool.local_validate_operational_chain,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_operational_chain.ps1,local_filesystem,external_runtime|live_execution|secret_materialization|chainless_operation
tool.local_validate_agents_instruction_hierarchy,05_SOPORTE_TECNICO,run,D:\.agents\codex\tools\local_validate_agents_instruction_hierarchy.ps1,local_filesystem,external_runtime|global_config_write|nested_repo_absorption|secret_materialization
tool.local_validate_skill_metadata,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_skill_metadata.ps1,local_filesystem,external_runtime|global_config_write|openai_api_live|secret_materialization
tool.sharepoint_complete_read_order_builder,01_AUTORIDAD_Y_GATES,write,D:\.agents\codex\orders,local_order_packet,microsoft_live_read_without_order
tool.stop_condition_check,01_AUTORIDAD_Y_GATES,read,D:/.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,local_filesystem,self_approval_or_live_execution
tool.surface_order_builder,04_TORRES_DE_UNIVERSO,write,D:\.agents\codex\orders,local_filesystem,sharepoint_write
tool.synthetic_eval_manifest,03_CORTE_EJECUTORA,read,D:\.agents\codex\evals,local_filesystem,api_live
tool.workpaper_index_check,03_CORTE_EJECUTORA,read,D:\.agents\codex\workpapers\WORKPAPER_INDEX.csv,local_filesystem,remote_write
tool.local_validate_user_identity_governance,03_CORTE_EJECUTORA,run,D:\.agents\codex\tools\local_validate_user_identity_governance.ps1,local_filesystem,external_runtime|microsoft_live|production|permission_change|secret_materialization|regulated_data_dump
