skill_id,current_source,decision,target_path,reason,validator,stop_condition,status
operativa-guardian:operativa-guardian-status,plugin:Operativa Guardian,ADAPTER_ONLY,NO_APLICA,Guardian plugin remains external; D can consume status only,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
rey-modo-auditor-vscode-insiders,installed_local,DEFER,NO_APLICA,Useful but PC/workspace-specific; defer until explicit local audit lane,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,scope_unclear,DECIDED
rey-modo-evidencia-riesgo-handoff,installed_local,CANONIZE_D,D:/.agents/skills/rey-modo-evidencia-riesgo-handoff/SKILL.md,Core Cabina closeout capability should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
rey-modo-gobernador-capacidades,installed_local,CANONIZE_D,D:/.agents/skills/rey-modo-gobernador-capacidades/SKILL.md,Core capability governance should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
tcu-desarrollo-con-subagentes,installed_local,CANONIZE_D,D:/.agents/skills/tcu-desarrollo-con-subagentes/SKILL.md,Core parallel/delegation governance should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
tcu-redactor-planes-operativos,installed_local,CANONIZE_D,D:/.agents/skills/tcu-redactor-planes-operativos/SKILL.md,Core governed planning should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
sdu-ejecutor-gates,installed_local,CANONIZE_D,D:/.agents/skills/sdu-ejecutor-gates/SKILL.md,Core gate closure should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
sharepoint:sharepoint,plugin:SharePoint,ADAPTER_ONLY,NO_APLICA,SharePoint connector remains live/runtime capability under governed order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_requires_order,DECIDED
sharepoint:sharepoint-site-discovery,plugin:SharePoint,ADAPTER_ONLY,NO_APLICA,SharePoint discovery remains connector capability under governed order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_requires_order,DECIDED
teams:teams,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Teams connector remains live/runtime capability under governed order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_requires_order,DECIDED
teams:teams-channel-summarization,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Teams read remains connector capability under bounded order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_read_requires_order,DECIDED
teams:teams-daily-digest,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Teams digest remains connector capability under bounded order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_read_requires_order,DECIDED
teams:teams-messages,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Teams writes remain connector capability under separate write order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_write_requires_order,DECIDED
teams:teams-notification-triage,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Teams triage remains connector capability under bounded order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_read_requires_order,DECIDED
teams:teams-planner-task-management,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Planner writes remain connector capability under separate order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_planner_write_requires_order,DECIDED
teams:teams-reply-drafting,plugin:Teams,ADAPTER_ONLY,NO_APLICA,Teams drafting remains connector capability; posting is separate order,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,microsoft_live_write_requires_order,DECIDED
superpowers:dispatching-parallel-agents,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D owns parallel-order-governance,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
superpowers:subagent-driven-development,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D owns tcu-desarrollo-con-subagentes,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
superpowers:systematic-debugging,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D can add runtime guard recipes,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
superpowers:using-git-worktrees,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D owns repo governance,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
superpowers:verification-before-completion,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D owns governed-readback-closeout,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
superpowers:writing-skills,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D owns skill-judge and skill integration,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
superpowers:writing-plans,plugin:Superpowers,ADAPTER_ONLY,NO_APLICA,Methodology plugin remains external; D owns tcu-redactor-planes-operativos,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,plugin_runtime_boundary_required,DECIDED
tcu-harness-evals-agentes,installed_local,CANONIZE_D,D:/.agents/skills/tcu-harness-evals-agentes/SKILL.md,Core local synthetic eval harness should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
tcu-normalizador-sistema-modo-on,installed_local,CANONIZE_D,D:/.agents/skills/tcu-normalizador-sistema-modo-on/SKILL.md,Core MODO_ON normalization should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
tcu-planificador-con-archivos,installed_local,CANONIZE_D,D:/.agents/skills/tcu-planificador-con-archivos/SKILL.md,Core file-based planning should be durable in D without external hooks,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
skill-creator,system_local,EXTERNAL_RUNTIME,NO_APLICA,System skill remains external reference for generic skill authoring,D:/.agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1,external_runtime_missing,DECIDED
skill-judge,installed_local,CANONIZE_D,D:/.agents/skills/skill-judge/SKILL.md,Core skill adoption review should be durable in D,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous,APPLIED
dataverse-atomic-segment-runner,retrospective_current_session,CANONIZE_D,D:/.agents/skills/dataverse-atomic-segment-runner/SKILL.md,Repeated Dataverse atomic segments need exact mon_sdu resolver workflow and uncertain-write retry guard,D:/.agents/codex/tools/local_validate_skill_metadata.ps1,candidate_count_not_one,APPLIED
