"review_id","generated_at_utc","source_type","source_registry_id","display_name","issue_class","severity","current_signal","recommended_action","allowed_now","blocked_now","approval_scope","rollback_required","postcheck_required","evidence_source","governance_status","stop_condition"
"entra.review.e66db095b916","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.4915f19c43a5","Actas (Microsoft Copilot Studio) -> Microsoft Flow Service","write_capable_delegated_grant","HIGH","write_scope_count=3;write_scope_names=Approvals.Manage.All;Flows.Manage.All;Flows.Write.Plans","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.de9056babbe3","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.098b02e3ab10","Actas (Microsoft Copilot Studio) -> Office 365 SharePoint Online","write_capable_delegated_grant","HIGH","write_scope_count=13;write_scope_names=AllSites.FullControl;AllSites.Manage;AllSites.Write;EnterpriseResource.Write;Migration.ReadWrite.All;MyFiles.Write;Project.Write;ProjectWebApp.FullControl;SharePointCrossTenantMigration.Manage.All;SitesMetadataAdmin.ReadWrite.All;TenantReports.ReadWrite.All;TermStore.ReadWrite.All;User.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.268af1375913","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.0210afb01bea","Adobe Acrobat - SharePoint -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=Sites.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.2c0d3092a237","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.80b3c5751953","Adobe Acrobat -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=Files.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.e846c97c78d5","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.1da1c354c917","Adobe Acrobat -> Office 365 SharePoint Online","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=MyFiles.Write","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.9c4887982ffe","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.ebed53b8bef3","Adobe Acrobat Reader -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=Files.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.ac9573671de3","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.1b1642709c0a","Adobe Document Cloud -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=2;write_scope_names=Files.ReadWrite.All;User.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.e5b718719117","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.cc4447edba84","Agent 365 CLI -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=2;write_scope_names=AgentIdentityBlueprint.ReadWrite.All;AgentRegistration.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.0e003ece6ec0","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.e595efbc5b8a","ChatGPT -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=2;write_scope_names=Files.ReadWrite.All;Tasks.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.d25d8f7bf617","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.938f7268b269","GPT Enzo -> Microsoft Flow Service","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=Flows.Manage.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.1ae598f6edb6","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.7b6bb7bdc565","Microsoft Graph Command Line Tools -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=7;write_scope_names=Application.ReadWrite.All;AppRoleAssignment.ReadWrite.All;DelegatedPermissionGrant.ReadWrite.All;Directory.ReadWrite.All;Group.ReadWrite.All;Policy.ReadWrite.ConditionalAccess;Tasks.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.54c95d0af9cc","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.70f62218ce82","MSFT Power Platform - Azure AD -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=2;write_scope_names=Group.ReadWrite.All;User.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.5ed778678a8e","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.1d03c557e483","SDU-CN Seshat Teams Connector Pilot -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=Chat.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.2ef5fbfa0ee1","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.1b71b56094c4","SGIN-Audit-PnP -> Connectors","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=webhook.readwrite.all","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.927f0f47931b","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.27dce6476da1","SGIN-Audit-PnP -> Graph Connector Service","write_capable_delegated_grant","HIGH","write_scope_count=1;write_scope_names=ExternalItem.ReadWrite.All","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.5dde86532fee","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.c8a0d0d7dc6a","SGIN-Audit-PnP -> Microsoft Flow Service","write_capable_delegated_grant","HIGH","write_scope_count=3;write_scope_names=Approvals.Manage.All;Flows.Manage.All;Flows.Write.Plans","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.77d338d192ac","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.cf38d187ee36","SGIN-Audit-PnP -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=7;write_scope_names=ServicePrincipalEndpoint.ReadWrite.All;SharePointCrossTenantMigration.Manage.All;SharePointTenantSettings.ReadWrite.All;Sites.FullControl.All;Sites.Manage.All;Sites.ReadWrite.All;Tasks.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.5697324d4fe5","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.23a8015c5ea5","SGIN-Audit-PnP -> Office 365 SharePoint Online","write_capable_delegated_grant","HIGH","write_scope_count=3;write_scope_names=AllSites.FullControl;AllSites.Manage;AllSites.Write","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.79391235ea1d","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.7668352778a8","SGIN-Audit-PnP -> Power Platform API","write_capable_delegated_grant","HIGH","write_scope_count=12;write_scope_names=AiFlows.Ai.Write;AiFlows.Runs.Write;AiFlows.Workflows.Write;AppManagement.ApplicationPackages.Install;AppManagement.ApplicationPackages.Read;Authorization.RoleAssignments.Write;EnvironmentManagement.Environments.Read;EnvironmentManagement.Groups.Read;EnvironmentManagement.Groups.ReadWrite;EnvironmentManagement.Settings.Read;EnvironmentManagement.Settings.ReadWrite;PowerAutomate.Flows.Write","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.55a6cfdbc324","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.e60b24213d1e","SGIN-Graph-Planner-Comments -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=2;write_scope_names=Group-Conversation.ReadWrite.All;Tasks.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
"entra.review.a4677dc968c3","2026-06-03T23:43:33.7127027Z","oauth2_permission_grant","entra.grant.934622ae6d8d","SGIN-Graph-Planner-ReadOnly-Metadata -> Microsoft Graph","write_capable_delegated_grant","HIGH","write_scope_count=2;write_scope_names=Group-Conversation.ReadWrite.All;Tasks.ReadWrite","review_scope_need_then_prepare_revoke_or_keep_decision_by_grant","review_only_prepare_artifact_decision","tenant_mutation|delete_app|delete_service_principal|delete_grant|permission_change|credential_change|consent_change|role_assignment|production","grant_review_only; no revoke/update now","if later revoked require re-consent path and affected app owner","grant still present or revoked exactly as approved; no extra grants changed","ENTRA_APPLICATION_REGISTRY_20260603|ENTRA_SERVICE_PRINCIPAL_REGISTRY_20260603|ENTRA_PERMISSION_GRANT_REGISTRY_20260603","READY_FOR_HUMAN_ARTIFACT_APPROVAL","grant_delete_attempted_without_artifact_approval|permission_mutation_attempted|business_owner_missing"
