"tool_id","owner_agent","tool_type","governed_asset_classes","allowed_surface","allowed_actions","blocked_surface","required_evidence","validator"
"tool.local_validate_teams_cross_repo_lane_audit","court.thot_schema","run","teams|repo|matrix|readback|order","local_filesystem","validate_teams_lane_matrix|validate_sanitized_live_read_evidence","external_runtime|microsoft_live|production|secret_materialization|raw_transcript_export","teams_cross_repo_lane_audit_result","tool.local_validate_teams_cross_repo_lane_audit"
"tool.local_validate_user_identity_governance","court.thot_schema","run","user_identity|microsoft_live|tenant|matrix|order|readback","local_filesystem","validate_user_identity_governance","external_runtime|microsoft_live|production|permission_change|secret_materialization|regulated_data_dump","user_identity_governance_result","tool.local_validate_user_identity_governance"
"tool.local_validate_teams_governance","court.thot_schema","run","teams|microsoft_live|matrix|order|readback","local_filesystem","validate_teams_governance","external_runtime|microsoft_live|production|permission_change|secret_materialization|regulated_data_dump","teams_governance_result","tool.local_validate_teams_governance"
"tool.local_validate_openai_upstream_adoption","court.thot_schema","run","openai|source|recipe|matrix|readback|workpaper","local_filesystem","validate_openai_upstream_adoption","external_runtime|openai_api_live|agents_sdk_live|production|permission_change|secret_materialization|remote_agent_persistence","openai_upstream_adoption_result","tool.local_validate_openai_upstream_adoption"
"tool.codex_cloud_cli_readonly","court.openai_dispatcher","read","codex_cloud|repo|github","github_remote_codex_cloud_governed","list|status|diff|exec_readonly_when_repo_branch_fixed","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|codex_cloud_apply_without_review","codex_cloud_status_diff_readback","tool.local_validate_codex_cloud_governed_lane"
"tool.local_validate_codex_cloud_governed_lane","court.thot_schema","run","codex_cloud|matrix|map|recipe|tool","local_filesystem","validate_codex_cloud_governed_lane","external_runtime|openai_api_live|microsoft_live|production|secret_materialization|remote_agent_persistence","codex_cloud_governed_lane_result","tool.local_validate_codex_cloud_governed_lane"
"tool.local_validate_capability_use_hardening","court.thot_schema","run","agent|skill|recipe|plugin|tool|surface|validator","local_filesystem","validate_capability_use_preflight","external_runtime|microsoft_live|openai_api_live|production|secret_materialization","capability_use_hardening_result","tool.local_validate_capability_use_hardening"
"tool.local_validate_autonomous_agent_execution","court.thot_schema","run","agent|subagent|codex_cloud|repo|matrix","local_filesystem","validate_autonomous_agent_execution","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|remote_agent_persistence|codex_cloud_apply_without_review","autonomous_agent_execution_result","tool.local_validate_autonomous_agent_execution"
"tool.local_validate_codex_app_environments","court.openai_dispatcher","run","codex_environment|repo|runtime","local_filesystem","validate_codex_app_environment|validate_environment_queue|validate_no_secrets|validate_missing_create_tool","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|tenant_write|codex_cloud_apply_without_review","codex_environment_readback","tool.local_validate_codex_app_environments"
"tool.local_run_change_aware_full_coverage_orchestrator","court.thot_schema","run","validator|workflow|coverage|audit","local_filesystem","validate_manifest|build_plan|execute_plan|verify_coverage_equivalence|emit_audit_artifact","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|coverage_reduction","change_aware_full_coverage_audit","tool.local_run_change_aware_full_coverage_orchestrator"
"tool.local_validate_change_aware_full_coverage_orchestrator","court.thot_schema","run","validator|workflow|coverage|audit","local_filesystem","validate_orchestrator_manifest_graph_and_plan","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|coverage_reduction","change_aware_orchestrator_static_result","tool.local_validate_change_aware_full_coverage_orchestrator"
