"asset_class","asset_id","owner_agent","authority_level","governing_matrix","required_recipe","required_tool","evidence","validator","coverage_status","stop_condition"
"agent","rey.frontier_guardian","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","frontier_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","rey.authority_canonist","rey.authority_canonist","01_AUTORIDAD_Y_GATES","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","canon_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","court.sdu_gate","court.sdu_gate","01_AUTORIDAD_Y_GATES","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","sdu_gate_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","rey.governance_registrar","rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","registry_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","rey.repo_cartographer","rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","repo_map_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","rey.migration_planner","rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","migration_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","court.openai_dispatcher","court.openai_dispatcher","03_CORTE_EJECUTORA","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","prompt_pack_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","court.seshat_evidence","court.seshat_evidence","03_CORTE_EJECUTORA","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","evidence_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","court.thot_schema","court.thot_schema","03_CORTE_EJECUTORA","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","schema_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","universe.escribania_tower","universe.escribania_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","escribania_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","universe.modo_on_tower","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","modo_on_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","tech.reference_librarian","tech.reference_librarian","05_SOPORTE_TECNICO","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","reference_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"agent","codex.workspace_guardian","codex.workspace_guardian","05_SOPORTE_TECNICO","D:\.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","workspace_readback","tool.local_validate_agent_layer","covered","agent_without_authority_or_escalation"
"tool","tool.local_inventory","rey.control_plane_orchestrator","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","inventory_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.routing_readback","court.seshat_evidence","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","routing_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.boundary_check","rey.frontier_guardian","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","boundary_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.secret_scan","rey.frontier_guardian","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","secret_scan_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.csv_registry_check","rey.governance_registrar","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","registry_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.git_status_readonly","rey.repo_cartographer","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","git_status_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.gh_remote_readonly","rey.repo_cartographer","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","remote_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.synthetic_eval_manifest","court.thot_schema","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","eval_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.readback_builder","court.seshat_evidence","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","acta_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.local_validate_agent_levels","court.thot_schema","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","validator_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.local_validate_agent_layer","court.thot_schema","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","validator_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.surface_order_builder","universe.escribania_tower","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","order_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.reference_classifier","tech.reference_librarian","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","reference_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.codex_workspace_audit","codex.workspace_guardian","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.repo_agent_tool_governance","tool.local_validate_agent_layer","workspace_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"workpapers","D_AGENT_WORKPAPERS","court.seshat_evidence","03_CORTE_EJECUTORA","D:\.agents\codex\matrices\AGENT_WORKPAPERS_MATRIX.csv","recipe.agent_workpaper_operation","tool.local_validate_agent_workpapers","workpaper_readback","tool.local_validate_agent_layer","covered","workpaper_missing_for_agent"
"plugins","D_PLUGIN_USAGE","codex.workspace_guardian","05_SOPORTE_TECNICO","D:\.agents\codex\matrices\PLUGIN_USAGE_MATRIX.csv","recipe.matrix_recipe_skill_sync","tool.plugin_registry_check","plugin_boundary_readback","tool.local_validate_agent_layer","covered","plugin_without_surface_boundary"
"tool","tool.parallel_dispatch_policy_check","rey.control_plane_orchestrator","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.parallel_agent_operation","tool.local_validate_parallel_order_governance","parallel_lane_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.governed_order_packet_builder","rey.frontier_guardian","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.governed_order_preparation","tool.local_validate_order_packets","order_packet_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.local_validate_parallel_order_governance","court.thot_schema","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.schema_tool_contract","tool.local_validate_agent_layer","validator_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"tool","tool.local_validate_order_packets","court.thot_schema","tool_governed","D:\.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv","recipe.schema_tool_contract","tool.local_validate_agent_layer","validator_readback","tool.local_validate_agent_layer","covered","tool_without_surface_boundary"
"parallel_lane","D_PARALLEL_OPERATION_CRITERIA","rey.control_plane_orchestrator","00_ROUTER","D:\.agents\codex\matrices\PARALLEL_OPERATION_CRITERIA_MATRIX.csv","recipe.parallel_agent_operation","tool.parallel_dispatch_policy_check","parallel_lane_readback","tool.local_validate_parallel_order_governance","covered","parallel_lane_without_validator"
"order_packet","D_ORDER_PREPARATION_ASSIGNMENT","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","D:\.agents\codex\matrices\ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv","recipe.governed_order_preparation","tool.governed_order_packet_builder","order_packet_readback","tool.local_validate_order_packets","covered","order_packet_missing_required_fields"
"subagent","D_SUBAGENT_CAPABILITY_ASSIGNMENT","rey.control_plane_orchestrator","00_ROUTER","D:\.agents\codex\matrices\SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","recipe.parallel_agent_operation","tool.parallel_dispatch_policy_check","subagent_readback","tool.local_validate_parallel_order_governance","covered","parallel_lane_without_validator"
"subskill","D_SUBSKILL_USAGE","court.thot_schema","03_CORTE_EJECUTORA","D:\.agents\codex\skills\SUBSKILL_USAGE_MATRIX.csv","recipe.matrix_recipe_skill_sync","tool.local_validate_agent_layer","subskill_readback","tool.local_validate_agent_layer","covered","skill_without_catalog_or_assignment"
"subrecipe","D_SUBRECIPE_INDEX","court.openai_dispatcher","03_CORTE_EJECUTORA","D:\.agents\codex\recipes\SUBRECIPE_INDEX.csv","recipe.matrix_recipe_skill_sync","tool.local_validate_agent_layer","subrecipe_readback","tool.local_validate_agent_layer","covered","recipe_without_index_or_owner"
