repo,universe,canonical_agent_id,domain,applies,repo_role,operational_mapping,evidence,validator,rollback,postcheck,stop_condition,status
SeshatSgin/torre-gemela-escribania,ESCRIBANIA,horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,true,tge_risk,universe.escribania_tower|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_75_contract,verify_issue_75,openai_treated_as_authority_source,ACTIVE_CANONICAL
SeshatSgin/torre-gemela-escribania,ESCRIBANIA,narrador-normativo,documentary_narrative_after_approved_evidence,true,tge_narrative,universe.escribania_tower|court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_75_contract,verify_issue_75,evidence_not_approved,ACTIVE_CANONICAL
SeshatSgin/seshat-bootstrap-sdu-cn,ESCRIBANIA|MODO_ON,seshat-normativa,documentary_governance_evidence_metadata,true,seshat_evidence,court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_7_contract,verify_issue_7,secret_detected,ACTIVE_CANONICAL
SeshatSgin/seshat-bootstrap-sdu-cn,ESCRIBANIA|MODO_ON,thot-tecnico,content_types_metadata_taxonomy_tools_events,true,seshat_schema,court.thot_schema,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_7_contract,verify_issue_7,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
SeshatSgin/seshat-bootstrap-sdu-cn,ESCRIBANIA|MODO_ON,anubis-gate,gates_stop_conditions_rollback_postcheck,true,seshat_gate,court.sdu_gate|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_7_contract,verify_issue_7,microsoft_live_without_target,ACTIVE_CANONICAL
SeshatSgin/seshat-bootstrap-sdu-cn,ESCRIBANIA|MODO_ON,maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,true,seshat_compliance,court.sdu_gate,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_7_contract,verify_issue_7,chain_of_command_missing,ACTIVE_CANONICAL
SeshatSgin/seshat-bootstrap-sdu-cn,ESCRIBANIA|MODO_ON,horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,true,seshat_risk,rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_7_contract,verify_issue_7,openai_treated_as_authority_source,ACTIVE_CANONICAL
SeshatSgin/seshat-bootstrap-sdu-cn,ESCRIBANIA|MODO_ON,narrador-normativo,documentary_narrative_after_approved_evidence,true,seshat_narrative,court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_7_contract,verify_issue_7,evidence_not_approved,ACTIVE_CANONICAL
SeshatSgin/cdf-soluciones,MODO_ON,seshat-normativa,documentary_governance_evidence_metadata,true,cdf_evidence,universe.modo_on_tower|court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_26_contract,verify_issue_26,secret_detected,ACTIVE_CANONICAL
SeshatSgin/cdf-soluciones,MODO_ON,thot-tecnico,content_types_metadata_taxonomy_tools_events,true,cdf_schema,universe.modo_on_tower|court.thot_schema,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_26_contract,verify_issue_26,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
SeshatSgin/cdf-soluciones,MODO_ON,anubis-gate,gates_stop_conditions_rollback_postcheck,true,cdf_gate,universe.modo_on_tower|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_26_contract,verify_issue_26,microsoft_live_without_target,ACTIVE_CANONICAL
SeshatSgin/cdf-soluciones,MODO_ON,maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,true,cdf_compliance,universe.modo_on_tower|court.sdu_gate,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_26_contract,verify_issue_26,chain_of_command_missing,ACTIVE_CANONICAL
SeshatSgin/cdf-soluciones,MODO_ON,horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,true,cdf_risk,universe.modo_on_tower|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_26_contract,verify_issue_26,openai_treated_as_authority_source,ACTIVE_CANONICAL
SeshatSgin/cdf-soluciones,MODO_ON,narrador-normativo,documentary_narrative_after_approved_evidence,true,cdf_narrative,universe.modo_on_tower|court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_26_contract,verify_issue_26,evidence_not_approved,ACTIVE_CANONICAL
SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,seshat-normativa,documentary_governance_evidence_metadata,true,agentic_evidence,court.openai_dispatcher|court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_9_contract,verify_issue_9,secret_detected,ACTIVE_CANONICAL
SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,thot-tecnico,content_types_metadata_taxonomy_tools_events,true,agentic_schema,court.openai_dispatcher|court.thot_schema,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_9_contract,verify_issue_9,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,anubis-gate,gates_stop_conditions_rollback_postcheck,true,agentic_gate,court.openai_dispatcher|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_9_contract,verify_issue_9,openai_treated_as_authority_source,ACTIVE_CANONICAL
SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,true,agentic_compliance,court.openai_dispatcher|court.sdu_gate,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_9_contract,verify_issue_9,chain_of_command_missing,ACTIVE_CANONICAL
SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,true,agentic_risk,court.openai_dispatcher|rey.frontier_guardian,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_9_contract,verify_issue_9,openai_treated_as_authority_source,ACTIVE_CANONICAL
SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,narrador-normativo,documentary_narrative_after_approved_evidence,true,agentic_narrative,court.openai_dispatcher|court.seshat_evidence,02_AUTHORITY_CANON/FOCUS_5_REPOS_CONTRACT_INVENTORY_20260604.md,scripts/validators/focus_5_repo_contracts_validator.py,restore_issue_9_contract,verify_issue_9,evidence_not_approved,ACTIVE_CANONICAL
