"branch_remote","expected_action","approved_for_execution","old_sha","current_remote_sha","remote_present_after","delete_result","open_pr_after","postcheck_status","observation"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/gov/process/rescue-framework__ISSUE-RECON-011","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/post-pr-101-next-lane-selection-20260605","DELETE","SI","c7e185423a04879596011543b0bd929bb1441fcb","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/power-platform-teams-governance-alm-20260603","DELETE","SI","e1bf7683e0f9187cb17dc9ff2dbcf6eda1869d2a","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/process-manuals-framework-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/process-rescue-framework-20260605","DELETE","SI","4beb992036c365025cc2c5c62c9790bee51326da","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
"codex/session-worktree-parking-20260605","HOLD","NO","","","NO","NOT_ATTEMPTED","NO","PASS_HELD_REMOTE_NOT_FOUND","REMOTE_BRANCH_NOT_FOUND"
"codex/version-agents-sdk-live-findings-20260605","DELETE","SI","7ed596a68d6ce393c1156af65d66e69b979b7a36","","NO","DELETED","NO","PASS_DELETED_REMOTE_ABSENT","EVIDENCE_BACKED_REMOTE_CLOSEOUT_ELIGIBLE"
