blueprint_agent,plane,cabina_family,schema_table,queue,gate,stop_condition,decision,risk,owner_agent,reviewer_agent,target_required,candidate_count_required,rollback_required,postcheck_required,evidence_path,readback_path,source_artifact,sanitization_status,evidence_hash,retention_scope,notes
local-executor,operation,codex.workspace_guardian,mon_sdu_apply_log,NO_QUEUE_GATE_ONLY,GATE_LOCAL_EXECUTION_REVIEW,runtime_or_live_execution_without_gate|repo_write_without_target_order|candidate_count_not_one|wrong_environment_or_default,MAP_TO_EXISTING_AGENT,high,codex.workspace_guardian,rey.frontier_guardian,YES,YES,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,executor cannot inherit Dataverse metadata gate or dispatch queue without exact item
validator,operation,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_VALIDATOR_REQUIRED_PASS,validator_missing_or_failed|validator_scope_unmapped,MAP_TO_EXISTING_AGENT,medium,court.sdu_gate,codex.workspace_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,validates outputs and stop conditions with declared validator scope
evidence-writer,operation,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_EVIDENCE_SANITIZATION,evidence_path_missing|sanitization_status_missing|secret_detected,MAP_TO_EXISTING_AGENT,medium,court.seshat_evidence,court.sdu_gate,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,writes sanitized evidence only after evidence path and sanitization are explicit
closure-judge,operation,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_EVIDENCE_CLOSURE,closure_without_evidence|readback_missing|postcheck_missing,MAP_TO_EXISTING_AGENT,medium,court.sdu_gate,court.seshat_evidence,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,decides done blocked review or escalated only with readback evidence
trace-collector,memory,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_TRACE_INDEX_SANITIZATION,trace_index_missing|sanitization_status_missing|secret_detected,MAP_TO_EXISTING_AGENT,medium,court.seshat_evidence,codex.workspace_guardian,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,indexes sanitized events with explicit trace path
readback-miner,memory,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_READBACK_MINING,readback_source_missing|readback_path_missing|sanitization_status_missing,MAP_TO_EXISTING_AGENT,medium,court.seshat_evidence,court.sdu_gate,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,mines decisions from readbacks with explicit source path
pattern-detector,memory,court.thot_schema,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_PATTERN_DETECTION,pattern_registry_missing|evidence_path_missing,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,court.seshat_evidence,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,detects repeated ambiguity and failures from evidence metadata
failure-classifier,memory,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_FAILURE_TAXONOMY_REVIEW,failure_taxonomy_missing|failure_scope_ambiguous|evidence_sanitization_missing|regulated_data_in_failure_artifact,MAP_TO_EXISTING_AGENT,medium,rey.frontier_guardian,court.seshat_evidence,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,classifies failures only after sanitized bounded evidence
decision-memory-writer,memory,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_DECISION_MEMORY_SANITIZATION,secret_detected|sanitization_status_missing|readback_source_missing,MAP_TO_EXISTING_AGENT,high,court.seshat_evidence,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,stores sanitized decisions only no secrets no broad regulated data
gap-detector,memory,court.thot_schema,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_GAP_BACKLOG_REVIEW,gap_backlog_missing|capability_use_preflight_missing,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,codex.workspace_guardian,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,detects missing skills validators configs and profiles
improvement-hypothesis-builder,improvement,court.thot_schema,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_IMPROVEMENT_HYPOTHESIS_REVIEW,improvement_without_evidence|evidence_path_missing,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,court.seshat_evidence,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,formulates evidence-backed improvements without dispatch
repair-loop-planner,improvement,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_REPAIR_LOOP_REVIEW,rollback_missing|blast_radius_unmapped|cross_cabina_target_missing|live_or_runtime_write_detected,MAP_TO_EXISTING_AGENT,high,rey.frontier_guardian,court.sdu_gate,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,plans minimal reversible repair and blocks unbounded blast radius
fixture-builder,improvement,court.thot_schema,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_FIXTURE_SCOPE_REVIEW,fixture_scope_missing|source_artifact_missing,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,codex.workspace_guardian,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,creates documentary fixture or sandbox plan only
synthetic-eval-runner,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_SYNTHETIC_EVAL_REVIEW,synthetic_eval_plan_missing|required_validator_not_declared,MAP_TO_EXISTING_AGENT,medium,court.sdu_gate,codex.workspace_guardian,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,reassigned from schema to validation gate family
validator-orchestrator,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_VALIDATION_ORCHESTRATION,validator_orchestration_missing|required_validator_not_declared,MAP_TO_EXISTING_AGENT,medium,court.sdu_gate,codex.workspace_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,coordinates validators and compares deltas
regression-checker,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_REGRESSION_EVIDENCE,regression_report_missing|baseline_missing|regression_detected,MAP_TO_EXISTING_AGENT,high,court.sdu_gate,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,detects regressions before promotion
promotion-advisor,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_PROMOTION_REVIEW,promotion_gate_missing|promotion_without_human_gate,MAP_TO_EXISTING_AGENT,high,court.sdu_gate,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,recommends promote discard adjust or escalate without activating
capability-expansion-planner,expansion,rey.governance_registrar,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_CAPABILITY_EXPANSION_REVIEW,capability_expansion_without_gate|capability_expansion_without_no_duplication_gate,MAP_TO_EXISTING_AGENT,high,rey.governance_registrar,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,plans controlled expansion without queue or activation
agent-factory-planner,expansion,court.thot_schema,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_AGENT_IDENTITY_CREATION_REVIEW,agent_creation_without_no_duplication_gate|seventh_agent_created,NEW_DECLARATIVE_AGENT_CANDIDATE,high,court.thot_schema,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,designs candidate only after no duplication review
skill-gap-proposer,expansion,court.thot_schema,mon_sdu_agent_connection_mapping,NO_QUEUE_METADATA_ONLY,GATE_SKILL_GAP_REVIEW,skill_without_catalog_or_assignment|capability_use_preflight_missing,MAP_TO_EXISTING_AGENT,medium,court.thot_schema,codex.workspace_guardian,YES,NO,NO,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,proposes skill gaps as capability mappings not agent identities
registry-normalizer,expansion,rey.governance_registrar,mon_sdu_agent_connection_mapping,NO_QUEUE_METADATA_ONLY,GATE_REGISTRY_POINTER_NORMALIZATION,registry_pointer_missing|registry_data_copy_detected,MAP_TO_EXISTING_AGENT,medium,rey.governance_registrar,court.seshat_evidence,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,normalizes registries as pointers and relationships not data copies
promotion-gate-resolver,expansion,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_PROMOTION_GATE_RESOLUTION,promotion_gate_missing|runtime_activation_without_gate,MAP_TO_EXISTING_AGENT,high,court.sdu_gate,rey.frontier_guardian,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,verifies gates before any capability activation
versioning-advisor,expansion,codex.workspace_guardian,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_VERSIONING_CHANGE_PLAN,versioning_plan_missing|base_branch_ambiguous|rollback_missing|dirty_worktree_unclassified|repo_write_without_target_order,MAP_TO_EXISTING_AGENT,medium,codex.workspace_guardian,court.seshat_evidence,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,defines semver changelog rollback and branch-safe plan
rollback-planner,expansion,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_ROLLBACK_PLAN_REQUIRED,rollback_missing|rollback_not_testable|postcheck_missing|owner_missing|target_identity_ambiguous,MAP_TO_EXISTING_AGENT,high,rey.frontier_guardian,court.sdu_gate,YES,NO,YES,YES,TBD,TBD,CODEX_AGENT_NETWORK_MATRIX.csv,REQUIRED_NOT_ATTACHED,TBD,LOCAL_WORKPAPER,designs safe reversal with testable rollback and owner
