"branch_canonica","matriz","skill_id","normalization"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-teams-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-sharepoint-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-document-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","cabina-superpowers-methodology-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","rey-modo-evidencia-riesgo-handoff","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","rey-modo-gobernador-capacidades","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","tcu-desarrollo-con-subagentes","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","tcu-redactor-planes-operativos","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","sdu-ejecutor-gates","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","tcu-harness-evals-agentes","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","tcu-normalizador-sistema-modo-on","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","tcu-planificador-con-archivos","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","skill-judge","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","cabina-github-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","cabina-teams-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","cabina-sharepoint-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","cabina-document-plugin-adapter","source_to_d_drive_repo_local_for_validator_contract"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","cabina-superpowers-methodology-adapter","source_to_d_drive_repo_local_for_validator_contract"
